id,orders
Prague_1_2024-03-16,6993.412214626471
Prague_1_2024-03-17,6997.2415602863375
Prague_1_2024-03-18,6910.148313567813
Prague_1_2024-03-19,6924.806824727448
Prague_1_2024-03-20,7017.23106228012
Prague_1_2024-03-21,6997.999237410569
Prague_1_2024-03-22,6949.847953372988
Prague_1_2024-03-23,7095.189050079352
Prague_1_2024-03-24,7104.7894144178
Prague_1_2024-03-25,7319.448772880583
Prague_1_2024-03-26,7032.409849523296
Prague_1_2024-03-27,6803.263008960474
Prague_1_2024-03-28,6827.535760716569
Prague_1_2024-03-29,7027.810789503332
Prague_1_2024-03-30,7059.229814135699
Prague_1_2024-03-31,7113.50855278056
Prague_1_2024-04-01,7075.501983636701
Prague_1_2024-04-02,7022.000315440522
Prague_1_2024-04-03,6987.29729880655
Prague_1_2024-04-04,7014.004079965047
Prague_1_2024-04-05,6966.991485003623
Prague_1_2024-04-06,6923.387099630587
Prague_1_2024-04-07,6961.302720770125
Prague_1_2024-04-08,7075.07817262392
Prague_1_2024-04-09,7081.163664089501
Prague_1_2024-04-10,7037.655576603393
Prague_1_2024-04-11,6992.320002655464
Prague_1_2024-04-12,6959.375759928578
Prague_1_2024-04-13,6948.988294111559
Prague_1_2024-04-14,6990.440689205887
Prague_1_2024-04-15,7014.656598459283
Prague_1_2024-04-16,7009.471057558515
Prague_1_2024-04-17,7009.965085780515
Prague_1_2024-04-18,7028.884109701383
Prague_1_2024-04-19,7013.7176940617355
Prague_1_2024-04-20,6979.666360002842
Prague_1_2024-04-21,6965.519765735175
Prague_1_2024-04-22,6975.638567135018
Prague_1_2024-04-23,6990.293233066529
Prague_1_2024-04-24,7012.883112375028
Prague_1_2024-04-25,7022.515910376782
Prague_1_2024-04-26,7007.246843864612
Prague_1_2024-04-27,6988.571072418536
Prague_1_2024-04-28,6987.096678208784
Prague_1_2024-04-29,6986.842558784947
Prague_1_2024-04-30,6983.397735937466
Prague_1_2024-05-01,6988.042102775758
Prague_1_2024-05-02,6999.933387156869
Prague_1_2024-05-03,7005.018784942584
Prague_1_2024-05-04,7003.908349933947
Prague_1_2024-05-05,6998.786004521476
Prague_1_2024-05-06,6988.744943603267
Prague_1_2024-05-07,6981.097453600242
Prague_1_2024-05-08,6985.384882958342
Prague_1_2024-05-09,6994.001370448578
Prague_1_2024-05-10,6997.524435329188
Prague_1_2024-05-11,6997.928351466025
Prague_1_2024-05-12,6998.211226508875
Prague_1_2024-05-13,6995.1611246875
Prague_1_2024-05-14,6990.449382765124
Prague_1_2024-05-15,6988.330327701216
Brno_1_2024-03-16,6988.388507674568
Brno_1_2024-03-17,6989.6641203087
Brno_1_2024-03-18,6993.649615667161
Brno_1_2024-03-19,6997.489661092242
Brno_1_2024-03-20,6996.735160460808
Brno_1_2024-03-21,6993.037054108648
Brno_1_2024-03-22,6990.6374645755295
Brno_1_2024-03-23,6989.625835211293
Brno_1_2024-03-24,6989.509976816083
Brno_1_2024-03-25,6991.063114610458
Brno_1_2024-03-26,6993.2087519035695
Brno_1_2024-03-27,6994.05720984829
Brno_1_2024-03-28,6993.963921270329
Brno_1_2024-03-29,6993.4334469730675
Brno_1_2024-03-30,6991.8527238465
Brno_1_2024-03-31,6990.048141569591
Brno_1_2024-04-01,6989.9215834091665
Brno_1_2024-04-02,6991.20873172767
Brno_1_2024-04-03,6992.439204727304
Brno_1_2024-04-04,6993.177655710916
Brno_1_2024-04-05,6993.30872783479
Brno_1_2024-04-06,6992.525304400512
